"Gesch채ft";"Gesch채fts ID";"Datum";"W채hrung";"Zahlungsart";"Betrag";"R체ckerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"CASH";"440,52";"-8,20";"432,32"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"SUMUP";"1032,35";"0,00";"1032,35"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"CASH";"460,58";"-24,80";"435,78"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"SUMUP";"1000,86";"0,00";"1000,86"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"CASH";"1,20";"-1,20";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"CREDIT_NOTE";"0,20";"-0,20";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"CARD";"17,00";"-15,00";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"CASH";"507,80";"0,00";"507,80"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"SUMUP";"373,61";"-1,00";"372,61"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"CARD";"22,00";"-19,90";"2,10"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"CASH";"547,90";"0,00";"547,90"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"SUMUP";"586,34";"0,00";"586,34"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"CASH";"202,60";"-6,50";"196,10"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"SUMUP";"401,37";"0,00";"401,37"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"CASH";"373,50";"0,00";"373,50"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"SUMUP";"481,32";"0,00";"481,32"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"CASH";"442,60";"0,00";"442,60"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"SUMUP";"1191,79";"0,00";"1191,79"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"CASH";"579,66";"-6,80";"572,86"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"CREDIT_NOTE";"14,80";"-14,80";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"SUMUP";"1161,77";"0,00";"1161,77"
"Suedseite - Bakery and Roastery";"55978";"2025-03-11";"EUR";"CASH";"420,20";"0,00";"420,20"
"Suedseite - Bakery and Roastery";"55978";"2025-03-11";"EUR";"SUMUP";"348,13";"0,00";"348,13"
"Suedseite - Bakery and Roastery";"55978";"2025-03-12";"EUR";"CASH";"257,12";"0,00";"257,12"
"Suedseite - Bakery and Roastery";"55978";"2025-03-12";"EUR";"SUMUP";"491,24";"0,00";"491,24"
"Suedseite - Bakery and Roastery";"55978";"2025-03-13";"EUR";"CASH";"361,50";"0,00";"361,50"
"Suedseite - Bakery and Roastery";"55978";"2025-03-13";"EUR";"SUMUP";"576,72";"0,00";"576,72"
"Suedseite - Bakery and Roastery";"55978";"2025-03-14";"EUR";"CASH";"448,93";"0,00";"448,93"
"Suedseite - Bakery and Roastery";"55978";"2025-03-14";"EUR";"CREDIT_NOTE";"6,30";"0,00";"6,30"
"Suedseite - Bakery and Roastery";"55978";"2025-03-14";"EUR";"SUMUP";"529,79";"0,00";"529,79"
"Suedseite - Bakery and Roastery";"55978";"2025-03-15";"EUR";"CASH";"586,47";"0,00";"586,47"
"Suedseite - Bakery and Roastery";"55978";"2025-03-15";"EUR";"SUMUP";"1103,96";"0,00";"1103,96"
"Suedseite - Bakery and Roastery";"55978";"2025-03-16";"EUR";"CASH";"448,70";"0,00";"448,70"
"Suedseite - Bakery and Roastery";"55978";"2025-03-16";"EUR";"SUMUP";"913,67";"0,00";"913,67"
"Suedseite - Bakery and Roastery";"55978";"2025-03-18";"EUR";"CASH";"344,40";"0,00";"344,40"
"Suedseite - Bakery and Roastery";"55978";"2025-03-18";"EUR";"SUMUP";"546,21";"0,00";"546,21"
"Suedseite - Bakery and Roastery";"55978";"2025-03-19";"EUR";"CASH";"458,60";"0,00";"458,60"
"Suedseite - Bakery and Roastery";"55978";"2025-03-19";"EUR";"SUMUP";"446,24";"0,00";"446,24"
"Suedseite - Bakery and Roastery";"55978";"2025-03-20";"EUR";"CASH";"306,80";"0,00";"306,80"
"Suedseite - Bakery and Roastery";"55978";"2025-03-20";"EUR";"SUMUP";"388,57";"0,00";"388,57"
"Suedseite - Bakery and Roastery";"55978";"2025-03-21";"EUR";"CASH";"502,40";"-28,20";"474,20"
"Suedseite - Bakery and Roastery";"55978";"2025-03-21";"EUR";"SUMUP";"724,82";"0,00";"724,82"
"Suedseite - Bakery and Roastery";"55978";"2025-03-22";"EUR";"CASH";"369,00";"0,00";"369,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-22";"EUR";"SUMUP";"877,57";"0,00";"877,57"
"Suedseite - Bakery and Roastery";"55978";"2025-03-23";"EUR";"CASH";"674,03";"-22,40";"651,63"
"Suedseite - Bakery and Roastery";"55978";"2025-03-23";"EUR";"SUMUP";"1043,93";"0,00";"1043,93"
"Suedseite - Bakery and Roastery";"55978";"2025-03-25";"EUR";"CASH";"389,14";"0,00";"389,14"
"Suedseite - Bakery and Roastery";"55978";"2025-03-25";"EUR";"SUMUP";"382,56";"0,00";"382,56"
"Suedseite - Bakery and Roastery";"55978";"2025-03-26";"EUR";"CASH";"362,65";"0,00";"362,65"
"Suedseite - Bakery and Roastery";"55978";"2025-03-26";"EUR";"SUMUP";"558,55";"-6,20";"552,35"
"Suedseite - Bakery and Roastery";"55978";"2025-03-27";"EUR";"CASH";"288,76";"0,00";"288,76"
"Suedseite - Bakery and Roastery";"55978";"2025-03-27";"EUR";"SUMUP";"551,63";"0,00";"551,63"
"Suedseite - Bakery and Roastery";"55978";"2025-03-28";"EUR";"CASH";"500,32";"-12,40";"487,92"
"Suedseite - Bakery and Roastery";"55978";"2025-03-28";"EUR";"SUMUP";"703,76";"0,00";"703,76"
"Suedseite - Bakery and Roastery";"55978";"2025-03-29";"EUR";"CASH";"378,87";"0,00";"378,87"
"Suedseite - Bakery and Roastery";"55978";"2025-03-29";"EUR";"SUMUP";"878,04";"0,00";"878,04"
"Suedseite - Bakery and Roastery";"55978";"2025-03-30";"EUR";"CASH";"481,25";"0,00";"481,25"
"Suedseite - Bakery and Roastery";"55978";"2025-03-30";"EUR";"SUMUP";"800,29";"0,00";"800,29"